product_code,product_name,category,disposition,review_reason,approval_action,product_id,warehouse_id,gap,expected_adjustment_sum,actual_stock,proposed_quantity_change,correction_id,reason_breakdown,as_of_day
YM042,黃色 YM-42,Variable-Speed Belts,actionable,,,52390970-4f88-5990-8f71-7d09bcd9cb7b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2028,-1743,285,2028,f077ad77-91f8-5f14-9fd9-ff1bd0da67b2,"SALES_RESERVATION=-3728, SUPPLIER_DELIVERY=1985",2026-04-17
PP0304,平面帶 3*4P,Flat / Specialty Belts,actionable,,,fe3ed6a1-82f7-5e2e-862f-7230bbe9c1d4,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2014,-2014,0,2014,89a80b33-5053-5e44-8f1c-9251490bde6a,"SALES_RESERVATION=-26113, SUPPLIER_DELIVERY=24099",2026-04-17
PA048,三角皮帶 A-48,V-Belts,actionable,,,30d898c4-205a-5b5f-8940-a86e6278a296,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1983,-1171,812,1983,a44bcb2c-4dd8-57e3-a37c-faacf8fa26c3,"SALES_RESERVATION=-48101, SUPPLIER_DELIVERY=46930",2026-04-17
PM028,三角皮帶 M-28,V-Belts,actionable,,,76de5ea9-a338-5ef3-9139-b5c823daa5e0,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1966,-1668,298,1966,6e1a3498-a200-520f-a1ef-4c2358947e8c,"SALES_RESERVATION=-13945, SUPPLIER_DELIVERY=12277",2026-04-17
PA037,三角皮帶 A-37,V-Belts,actionable,,,cf84343b-1189-5285-bc3f-3c50ca94ccda,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1956,-1141,815,1956,06a2bfff-df17-5ee3-83f3-0fc8b84196fd,"SALES_RESERVATION=-48475, SUPPLIER_DELIVERY=47334",2026-04-17
YK020,黃色 YK-20,Variable-Speed Belts,actionable,,,c4ec80bd-7ee4-57b1-84b5-ba16eb821ac6,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1939,546,2485,1939,27a19c4a-4971-5f8d-a3f8-40338f5417da,"SALES_RESERVATION=-29178, SUPPLIER_DELIVERY=29724",2026-04-17
PM025,三角皮帶 M-25,V-Belts,actionable,,,20bf676d-85db-5a11-8367-3c24e9397f8f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1903,-1724,179,1903,7c3272ee-6a14-540c-a603-633779e655eb,"SALES_RESERVATION=-11405, SUPPLIER_DELIVERY=9681",2026-04-17
PA036,三角皮帶 A-36,V-Belts,actionable,,,e3cb89a0-b37d-576e-88ec-4038b9286810,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1857,-1308,549,1857,74671e26-03e0-521a-866e-323a22b4927e,"SALES_RESERVATION=-54114, SUPPLIER_DELIVERY=52806",2026-04-17
PM043,三角皮帶 M-43,V-Belts,actionable,,,a790c7f4-3eb1-54dc-b136-56fd3105287a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1820,-1537,283,1820,3af27bfc-99ec-5ff9-9dfa-f32c05be2105,"SALES_RESERVATION=-7859, SUPPLIER_DELIVERY=6322",2026-04-17
PA047,三角皮帶 A-47,V-Belts,actionable,,,ff59b835-1be8-5db7-98c9-be622bb475e6,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1817,-1119,698,1817,0786edc5-415c-5475-9037-b0fa263b5161,"SALES_RESERVATION=-43397, SUPPLIER_DELIVERY=42278",2026-04-17
PM040,三角皮帶 M-40,V-Belts,actionable,,,3b1bbe1b-4fb9-5903-9ed9-9deb9ddf4a65,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1797,-1554,243,1797,acc09454-88bb-5fd9-ac62-b89b53482239,"SALES_RESERVATION=-6035, SUPPLIER_DELIVERY=4481",2026-04-17
PP0503,平面帶 5*3P,Flat / Specialty Belts,actionable,,,e853cee7-a7bf-59d2-a0cf-aae1a1bb6f7f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1755,-983,772,1755,4cec3e78-103b-5c04-b42a-5399b3d8c61c,"SALES_RESERVATION=-1643, SUPPLIER_DELIVERY=660",2026-04-17
PA044,三角皮帶 A-44,V-Belts,actionable,,,e6883b0c-6cdf-577d-8f78-8e19b9c010d7,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1754,-824,930,1754,808e7bbb-d764-5d97-be65-fa8402be71ad,"SALES_RESERVATION=-43063, SUPPLIER_DELIVERY=42239",2026-04-17
PA030,三角皮帶 A-30,V-Belts,actionable,,,2ce9b913-5489-5be6-ac0b-d7757fc2e2dc,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1745,-1171,574,1745,8d5c4146-f2cb-551c-9747-991ef2621e57,"SALES_RESERVATION=-60412, SUPPLIER_DELIVERY=59241",2026-04-17
PA023,三角皮帶 A-23,V-Belts,actionable,,,6d526221-3967-537c-8bc6-c050436d9edc,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1738,-1205,533,1738,053dd563-4adc-547a-82a3-41d97f9a3de5,"SALES_RESERVATION=-27140, SUPPLIER_DELIVERY=25935",2026-04-17
PA035,三角皮帶 A-35,V-Belts,actionable,,,20f16184-e9c1-5a63-9be7-831e6e09371b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1701,-1209,492,1701,d2db3918-e079-5394-b041-13526c75bb2c,"SALES_RESERVATION=-40506, SUPPLIER_DELIVERY=39297",2026-04-17
YK018,黃色 K-18,Variable-Speed Belts,actionable,,,127cbb98-4fb9-5a1c-bcad-85bae05e71dd,26c77257-0dee-5c1a-a0aa-62ffa0603a01,1690,1690,0,-1690,cedb22ae-dca3-582f-b7c0-59566359b88c,"SALES_RESERVATION=-254, SUPPLIER_DELIVERY=1944",2026-04-17
PA039,三角皮帶 A-39,V-Belts,actionable,,,7bf4ffbe-df65-5be2-a6a3-105e57eeaf29,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1685,-1255,430,1685,7bf4e015-ff40-5f98-9ec3-3749d76a5241,"SALES_RESERVATION=-48173, SUPPLIER_DELIVERY=46918",2026-04-17
PA042,三角皮帶 A-42,V-Belts,actionable,,,8a762ac5-ab0d-58b4-bb55-2438c3682f42,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1679,-850,829,1679,f125fc0d-0f16-5ec7-9891-6a1e1c786955,"SALES_RESERVATION=-83742, SUPPLIER_DELIVERY=82892",2026-04-17
PB037,三角皮帶 B-37,V-Belts,actionable,,,b0b802f4-c884-5cfe-8ceb-5a11b413307b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1632,-1308,324,1632,48c38320-a2bc-5a52-abf2-1ecf1025e9bc,"SALES_RESERVATION=-24784, SUPPLIER_DELIVERY=23476",2026-04-17
PB041,三角皮帶 B-41,V-Belts,actionable,,,cf0717dd-4a1e-5e1a-b996-c750094384cf,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1605,-358,1247,1605,3a88bc77-445d-5ee0-b18a-9bd8f90f8d40,"SALES_RESERVATION=-70871, SUPPLIER_DELIVERY=70513",2026-04-17
PM015,三角皮帶 M-15,V-Belts,actionable,,,ad384654-29ec-524a-93d2-795384e8bd40,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1568,-1349,219,1568,c5bc9f47-86a0-5722-9690-fc50b97dade5,"SALES_RESERVATION=-2173, SUPPLIER_DELIVERY=824",2026-04-17
PB046,三角皮帶 B-46,V-Belts,actionable,,,f6924eb5-3bf4-5e2b-a8ba-d2c8eef69731,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1555,-739,816,1555,3fbd19dc-9a76-50b3-949d-aa1b872ae327,"SALES_RESERVATION=-73197, SUPPLIER_DELIVERY=72458",2026-04-17
YM019,黃色 YM-19,Variable-Speed Belts,actionable,,,318418c0-9d29-5da4-9e63-e80a3ef83d18,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1541,-1541,0,1541,b2eba1ee-736f-570e-bf4e-6cd98acfcef1,"SALES_RESERVATION=-6232, SUPPLIER_DELIVERY=4691",2026-04-17
PB039,三角皮帶 B-39,V-Belts,actionable,,,ddcd8c3b-0529-5e61-af2a-f292a16cdc00,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1541,-1046,495,1541,dd8324b2-1ea8-5ed2-9b5d-422e48bff110,"SALES_RESERVATION=-40348, SUPPLIER_DELIVERY=39302",2026-04-17
PB070,三角皮帶 B-70,V-Belts,actionable,,,e57689c9-e1d5-5879-ba52-ce218edad54a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1534,-1195,339,1534,40d52f2b-466a-5c86-a50f-c0355be61cf5,"SALES_RESERVATION=-41659, SUPPLIER_DELIVERY=40464",2026-04-17
17641-00 迅光,4CW- 迅光,Other Power Transmission,actionable,,,bc6a36cb-1235-5b87-a353-611745361a77,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1529,-1529,0,1529,ff227425-f5a0-5365-8fa4-940aaa9e2c71,"SALES_RESERVATION=-20708, SUPPLIER_DELIVERY=19179",2026-04-17
PB045,三角皮帶 B-45,V-Belts,actionable,,,0b9372f3-c13c-5c0c-a7f9-1081d3923324,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1519,-753,766,1519,b91490e9-d502-58fe-b2c8-c20f5686d63c,"SALES_RESERVATION=-84331, SUPPLIER_DELIVERY=83578",2026-04-17
PM035,三角皮帶 M-35,V-Belts,actionable,,,8621ba66-1bff-5e65-aac5-60fdaebeb3ce,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1505,-1322,183,1505,751fc4d7-5832-5c1d-86ee-c24a437a6631,"SALES_RESERVATION=-6404, SUPPLIER_DELIVERY=5082",2026-04-17
PM034,三角皮帶 M-34,V-Belts,actionable,,,db54e462-af4b-5d81-a0ab-5d2b47bba797,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1505,-1192,313,1505,f1361f81-7db1-5247-bed9-334522115c45,"SALES_RESERVATION=-6539, SUPPLIER_DELIVERY=5347",2026-04-17
PA033,三角皮帶 A-33,V-Belts,actionable,,,7e506fc1-809a-526c-a546-5b4d374096eb,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1503,-677,826,1503,7def7f99-7ea8-52e9-b282-c7391d1d62d2,"SALES_RESERVATION=-40710, SUPPLIER_DELIVERY=40033",2026-04-17
PA043,三角皮帶 A-43,V-Belts,actionable,,,23bf602c-8d23-5ea7-a8a6-1ea3025255c3,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1458,-622,836,1458,123cf138-2c10-592e-a271-94167f16e030,"SALES_RESERVATION=-74986, SUPPLIER_DELIVERY=74364",2026-04-17
PA045,三角皮帶 A-45,V-Belts,actionable,,,6984bc14-0dc6-5c0c-9ef1-9707801b003b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1414,-771,643,1414,ae890e53-5db5-5964-ab75-f872cb6feebd,"SALES_RESERVATION=-53989, SUPPLIER_DELIVERY=53218",2026-04-17
PB072,三角皮帶 B-72,V-Belts,actionable,,,002eb8a5-ed2e-52d1-8e1b-ab5aaa6579c2,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1405,-861,544,1405,70af0fa1-ea01-5c0b-bff7-d6da38c9855b,"SALES_RESERVATION=-40531, SUPPLIER_DELIVERY=39670",2026-04-17
PA028,三角皮帶 A-28,V-Belts,actionable,,,17bac9a4-dbae-55a2-a5bf-a74d0eca23e8,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1403,-987,416,1403,64e371b3-c65b-557e-8df2-ab807179d7a7,"SALES_RESERVATION=-44060, SUPPLIER_DELIVERY=43073",2026-04-17
PB042,三角皮帶 B-42,V-Belts,actionable,,,06e46b6f-b2e2-5ba6-a848-50239ea2b704,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1380,-736,644,1380,0e5033fb-d7f2-5c3a-8c08-19c0ddfce7d5,"SALES_RESERVATION=-61141, SUPPLIER_DELIVERY=60405",2026-04-17
PB048,三角皮帶 B-48,V-Belts,actionable,,,3082ba50-1488-573e-85cc-15d37e544e36,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1379,-801,578,1379,1f99a70a-5f4f-520a-9891-106bd44b0289,"SALES_RESERVATION=-46972, SUPPLIER_DELIVERY=46171",2026-04-17
PM022,三角皮帶 M-22,V-Belts,actionable,,,5075b1d5-ab5d-5a9b-b814-75b527318566,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1372,-1041,331,1372,d4b7a6ee-64d1-5d14-97d9-f65d01561f3d,"SALES_RESERVATION=-16619, SUPPLIER_DELIVERY=15578",2026-04-17
YM035,黃色 YM-35,Variable-Speed Belts,actionable,,,f53d4649-522b-58a4-b162-c8183fca636b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1370,-1209,161,1370,8ca2c3ec-5f16-572c-b584-ecc62617fdb7,"SALES_RESERVATION=-1909, SUPPLIER_DELIVERY=700",2026-04-17
PB040,三角皮帶 B-40,V-Belts,actionable,,,0052c6ec-023c-552b-bbf0-eb7719c8410c,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1319,-762,557,1319,8fd25383-64cb-54ca-94ec-0ecfb7a7cb09,"SALES_RESERVATION=-42538, SUPPLIER_DELIVERY=41776",2026-04-17
PA027,三角皮帶 A-27,V-Belts,actionable,,,922d39ac-9293-5460-8ef1-11dea027669d,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1319,-778,541,1319,4a3ccdc8-b796-53dd-a60a-989f7cc9a809,"SALES_RESERVATION=-30336, SUPPLIER_DELIVERY=29558",2026-04-17
PA026,三角皮帶 A-26,V-Belts,actionable,,,ee39af54-c8b1-56dc-b709-df3fba3b4c47,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1318,-911,407,1318,4976943d-917a-5ffb-8dd7-e2778c366d66,"SALES_RESERVATION=-38098, SUPPLIER_DELIVERY=37187",2026-04-17
PB043,三角皮帶 B-43,V-Belts,actionable,,,95fe92e2-60f4-5e58-a026-e5aa680833ab,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1313,-730,583,1313,045210e2-9d95-51c4-a296-a55e3d378016,"SALES_RESERVATION=-44811, SUPPLIER_DELIVERY=44081",2026-04-17
PA021,三角皮帶 A-21,V-Belts,actionable,,,04af0982-94ed-5c69-87a8-eece05b86fae,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1292,-933,359,1292,7fd9a741-095a-545e-a16a-1cee873e9962,"SALES_RESERVATION=-12526, SUPPLIER_DELIVERY=11593",2026-04-17
3GF-17641勁風,3GF-勁風50,Vehicle Belts,actionable,,,1e4f8133-d300-50c2-9e86-cb75b5859751,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1271,-1271,0,1271,b1951d5c-4ab4-5e60-b0f8-81a419b87093,"SALES_RESERVATION=-16861, SUPPLIER_DELIVERY=15590",2026-04-17
PB038,三角皮帶 B-38,V-Belts,actionable,,,315c8e14-91e2-5f6f-9b94-82c80be8da94,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1271,-999,272,1271,2b2f9c13-a09a-554e-b6bf-586b93b50793,"SALES_RESERVATION=-40719, SUPPLIER_DELIVERY=39720",2026-04-17
PB049,三角皮帶 B-49,V-Belts,actionable,,,cf9a8f5a-d0eb-52a2-8232-b6b9672537ba,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1255,-892,363,1255,2ddc5fb6-7cbd-5960-b671-7f568d36ae7a,"SALES_RESERVATION=-37666, SUPPLIER_DELIVERY=36774",2026-04-17
PP0344,平面帶 3.1/2*4P,Flat / Specialty Belts,actionable,,,5f1a835d-0e12-57aa-bc8f-4e0a0e3cd60f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,1253,1896,643,-1253,3ea8a77f-68d4-5368-a91d-596a7fbfb4fc,"SALES_RESERVATION=-28134, SUPPLIER_DELIVERY=30030",2026-04-17
PM037,三角皮帶 M-37,V-Belts,actionable,,,f225313d-8a35-5c8a-8785-ee048c7443b0,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1253,-644,609,1253,0e6ef1b5-67df-50f5-b7a4-34721c8e52cd,"SALES_RESERVATION=-9781, SUPPLIER_DELIVERY=9137",2026-04-17
PM045,三角皮帶 M-45,V-Belts,actionable,,,fe1a2c16-ab36-58d7-959c-114d99b036ba,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1249,-1024,225,1249,69e49099-1086-52cb-99c1-082bb0ff06c4,"SALES_RESERVATION=-2509, SUPPLIER_DELIVERY=1485",2026-04-17
PA022,三角皮帶 A-22,V-Belts,actionable,,,fe6ae37a-720f-5fa4-99af-78302d1c4d18,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1244,-811,433,1244,11c2dfb3-ddc6-5d93-8769-1279b3d0d419,"SALES_RESERVATION=-13565, SUPPLIER_DELIVERY=12754",2026-04-17
PA025,三角皮帶 A-25,V-Belts,actionable,,,d5974931-f054-56e7-b009-faa39e099f0b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1241,-736,505,1241,bb283ca0-db9a-5863-8792-cc98d4005320,"SALES_RESERVATION=-40509, SUPPLIER_DELIVERY=39773",2026-04-17
PA049,三角皮帶 A-49,V-Belts,actionable,,,9bca68a0-afc6-5d7d-83d1-312664eeef2a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-1219,-650,569,1219,9bb69ece-e43c-534c-804c-8bb4449b6550,"SALES_RESERVATION=-34921, SUPPLIER_DELIVERY=34271",2026-04-17
